Artist Name,Popularity,Followers,Artist ID,Artist URL,Time Range,Genre(s)
Vacations,72,1395381,0U7iI0Dk4Ojvi17nZboNO4,https://open.spotify.com/artist/0U7iI0Dk4Ojvi17nZboNO4,medium_term,
AC/DC,84,31433766,711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,medium_term,"classic rock, hard rock, rock, rock and roll"
Magdalena Bay,70,462625,1oPRcJUkloHaRLYx0olBLJ,https://open.spotify.com/artist/1oPRcJUkloHaRLYx0olBLJ,medium_term,
Sub Urban,68,1837704,7gXb99Sf9nNmpNYeAgIQFG,https://open.spotify.com/artist/7gXb99Sf9nNmpNYeAgIQFG,medium_term,
Ludwig Göransson,68,399852,24eDfi2MSYo3A87hCcgpIL,https://open.spotify.com/artist/24eDfi2MSYo3A87hCcgpIL,medium_term,soundtrack
Bruno Mars,93,72703897,0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,medium_term,
Bryce Vine,65,522050,1ShZZUjkbXCjhwrb18BA8I,https://open.spotify.com/artist/1ShZZUjkbXCjhwrb18BA8I,medium_term,
Mitski,82,10547708,2uYWxilOVlUdk4oV9DvwqK,https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK,medium_term,
JAY-Z,85,10093805,3nFkdlSjzX9mRTtwJOzDYB,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,medium_term,"east coast hip hop, hip hop, rap"
Yo Yo Honey Singh,80,30493498,7uIbLdzzSEqnX0Pkrb56cR,https://open.spotify.com/artist/7uIbLdzzSEqnX0Pkrb56cR,medium_term,"bollywood, desi, hindi hip hop, hindi pop, punjabi pop"
Manna Dey,59,2395365,4kcoiVXIxvUoLUoHY1vJYU,https://open.spotify.com/artist/4kcoiVXIxvUoLUoHY1vJYU,medium_term,"bangla pop, bhajan, ghazal"
Lemaitre,49,180911,4CTKqs11Zgsv8EZTVzx764,https://open.spotify.com/artist/4CTKqs11Zgsv8EZTVzx764,medium_term,"norwegian pop, nu disco"
Sidhu Moose Wala,80,42612790,4PULA4EFzYTrxYvOVlwpiQ,https://open.spotify.com/artist/4PULA4EFzYTrxYvOVlwpiQ,medium_term,"bhangra, desi hip hop, punjabi hip hop, punjabi pop"
5 Seconds of Summer,78,10325169,5Rl15oVamLq7FbSb0NNBNy,https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy,medium_term,
Lil Nas X,75,12344055,7jVv8c5Fj3E9VhNjxT4snq,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,medium_term,
Vinyl Theatre,38,159356,7xSEWLsywYbocdtt3xsQsU,https://open.spotify.com/artist/7xSEWLsywYbocdtt3xsQsU,medium_term,
Earl Sweatshirt,70,2359591,3A5tHz1SfngyOZM2gItYKu,https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu,medium_term,"alternative hip hop, experimental hip hop"
AP Dhillon,78,7716023,6LEG9Ld1aLImEFEVHdWNSB,https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB,medium_term,"bhangra, desi, desi hip hop, punjabi hip hop, punjabi pop"
50 Cent,85,17908565,3q7HBObVc0L8jNeTe5Gofh,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,medium_term,"east coast hip hop, old school hip hop"
Lata Mangeshkar,79,21789433,61JrslREXq98hurYL2hYoc,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,medium_term,"bhajan, bollywood, ghazal, hindi pop, marathi pop"
