title,tvmaze_id,genres,summary,runtime,average_runtime,premiered,language,status,network_country,rating_avg,rating_count,popularity,show_type,cast,characters,crew,episode_count,my_rating,watch_count,year_watched,tmdb_id,overview,tagline,poster_path,backdrop_path,vote_average,vote_count,first_air_date,last_air_date,number_of_seasons,number_of_episodes,processing_status
Parks and Recreation,174,Comedy,"In an attempt to beautify her town — and advance her career — Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, takes on bureaucrats, cranky neighbors, and single-issue fanatics whose weapons are lawsuits, the jumble of city codes, and the democratic process she loves so much.",30,30,39912,English,Ended,United States,8.2,,97,Scripted,Amy Poehler|Nick Offerman|Aubrey Plaza|Aziz Ansari|Jim O'Heir|Retta|Chris Pratt|Rashida Jones|Adam Scott|Rob Lowe|Paul Schneider,Leslie Knope|Ron Swanson|April Ludgate|Tom Haverford|Jerry Gergich|Donna Meagle|Andy Dwyer|Ann Perkins|Ben Wyatt|Chris Traeger|Mark Brendanawicz,Dan Goor|Norm Hiscock|Michael Schur|Michael Schur|Dean Holland|Dean Holland|Rachel Axler|Howard Klein|Greg Daniels|Greg Daniels|Emily Kapnek|Amy Poehler|Tucker Cawley|Matt Hinkley|Morgan Sackett|Steven Mesner|David Hyman|Steve Day|Allison Jones|Peter Smokler|John W. Cook II|Dan Bishop|Kerri Drootin|Peter Nusbaum|Susie Flower|Nancy Perkins|James MacKinnon|Terrie Velazquez Owen|Kelli Jones,125,4,1,2021,8592,"In an attempt to beautify her town — and advance her career — Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, takes on bureaucrats, cranky neighbors, and single-issue fanatics whose weapons are lawsuits, the jumble of city codes, and the democratic process she loves so much.",Because parks don't grow on trees.,https://image.tmdb.org/t/p/w500/dFs6yHxheEGoZSoA0Fdkgy6Jxh0.jpg,https://image.tmdb.org/t/p/w500/frwl2zBNAl5ZbFDJGoJv0mYo0rF.jpg,8.0,1692,2009-04-09,2015-02-24,7,122,COMPLETE
Cobra Kai,30960,Drama|Comedy|Action,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",,35,43222,English,Ended,United States,7.1,,99,Scripted,Ralph Macchio|William Zabka|Xolo Maridueña|Mary Mouser|Courtney Henggeler|Tanner Buchanan|Jacob Bertrand|Gianni DeCenzo|Vanessa Rubio|Peyton List|Martin Kove|Dallas Dupree Young|Thomas Ian Griffith,"Daniel LaRusso|Johnny Lawrence|Miguel Diaz|Samantha LaRusso|Amanda LaRusso|Robby Keene|Eli ""Hawk"" Moskowitz|Demetri Alexopoulos|Carmen Diaz|Tory Nichols|John Kreese|Kenny Payne|Terry Silver",Will Smith|Jason Belleville|Shane Keller|Bob Dearden|Robert Mark Kamen|Caleeb Pinkett|Stacey Harman|Stacey Harman|William Zabka|Ralph Macchio|Kevin McManus|Matthew McManus|Bartholomew Burcham|Ryan Berg|Dexter Adriano|Bob Wilson|Mallory Yund|Leo Birenberg|Susan Ekins|Tara Feldstein Bennett|Chase Paris|Zack Arnold|Christine Smith Shevchenko|Alexis Frank Koczara|Joe Piarulli|Joe Piarulli|Luan Thomas|Luan Thomas|Paul Varrieur|Jon Hurwitz|Jon Hurwitz|Hayden Schlossberg|Hayden Schlossberg|Josh Heald|Josh Heald|Michael Jonathan Smith|Alyssa Forleiter|James Lassiter|Dougie Cash|Gianna Butler|Dieter H. Busch|Kevin M. Berg|Jim Lanier|Zach Robinson|Frank Helmer|Vincent Gonzales,65,2.5,1,2021,77169,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",Back in the Valley. One final fight.,https://image.tmdb.org/t/p/w500/6POBWybSBDBKjSs1VAQcnQC1qyt.jpg,https://image.tmdb.org/t/p/w500/5NrSIzfcBOFI9HRGV4nRYgMGhDU.jpg,8.207,6780,2018-05-02,2025-02-13,6,65,COMPLETE
The Umbrella Academy,30386,Drama|Action|Science-Fiction,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,51,43511,English,Ended,United States,7.9,,99,Scripted,Elliot Page|Tom Hopper|Emmy Raver-Lampman|David Castañeda|Robert Sheehan|Aidan Gallagher|Colm Feore|Ritu Arya|Justin H. Min|Justin H. Min|Adam Godley|Kate Walsh|Yusuf Gatewood|Cameron Britton|Marin Ireland|Genesis Rodriguez|Mary J. Blige|John Magaro|Britne Oldford,Viktor Hargreeves|Luther Hargreeves|Allison Hargreeves|Diego Hargreeves|Klaus Hargreeves|Number Five|Sir Reginald Hargreeves|Lila Pitts|Ben Hargreeves|Sparrow Ben Hargreeves|Pogo|The Handler|Raymond Chestnut|Hazel|Sissy Cooper|Sloane|Cha-Cha|Leonard Peabody|Fei,Michelle Lovretta|Michelle Lovretta|Jeff King|Robert De Laurentiis|Steve Blackman|Steve Blackman|Matt Wolpert|Ben Nedivi|Mark Goffman|Pascal Verschooris|David MacLeod|Jeremy Webb|Lauren Schmidt|Sneha Koorse|Timothy A. Good|Bronwyn Garrity|Jennifer Cecil|Nikki Schiefelbein|Scott Stuber|Andrew M. Stearn|Lauren Otero|Lauren Otero|Gerard Way|Gerard Way|Jason Neese|Jason Neese|Jason Neese|Jason Neese|Jamie Neese|Jamie Neese|Jamie Neese|Jamie Neese|Peter Hoar|Kevin Lafferty|Greg Chown|Carey Meyer|Jesse McKeown|Jesse McKeown|Jeff Russo|April Webster|Junie Lowry-Johnson|Neville Kidd|Libby Goldstein|Robin D. Cook|Jeremy Slater|Jeremy Slater|Jeremy Slater|Keith Goldberg|D.J. Carson|Joe DeAngelis|Maggie Phillips|Carol Stutz|Kira McCord|Everett Burrell|Everett Burrell|Everett Burrell|Everett Burrell|Everett Burrell|Everett Burrell|Lodge Worster|Molly Nussbaum|Jon Dudkowski|Chris Shaw|Jill Compton|Doug Johnston|Tim Singh|Beau Bauman|Lyndsay Leahy|Kim Coleman|Allison Weintraub|Mark Worthington|David Till|Mike Richardson|Ted Miller|Jen Malone|Whitney Pilzer|Lindsay Gelfand|Elizabeth Padden|Elizabeth Padden|Christine Greene Roe|Gabriel Bá|Gabriel Bá|Thomas Page McBee|Robert Askins|Robert Askins|Robert Askins|Chris Carpenter|Abbey Morris|Steve Wakefield|Aeryn Michelle Williams|Aeryn Michelle Williams|Aeryn Michelle Williams|Christopher Hargadon|Chris Tongue|Steve Dellerson|Mark Steel|Mark Steel|Samantha Garrabrant|Josh Ropiequet|Jonathan Oliveira|Bonnie Zipursky|Kelly Wright|Wendy Tzeng|Perrine Virgile|Lisa Perone|Kevin Hennelly|Natasha Peschlow|Peter Grundy|Ashley Gray|Kim De Simone|Shelby Cherniet|Patricia Keighran|Araxi Lindsey|Patrick Hogan|Megan Oppenheimer|Allie White|Rick Forsayeth|Amanda O'Leary|Allison Mondesir|Sabrina Arnold|Sabrina Arnold,36,3,1,2021,75006,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",Too many siblings. Not enough timeline.,https://image.tmdb.org/t/p/w500/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,https://image.tmdb.org/t/p/w500/gHJhN9AJV4PmJ7YpLFa9ldDWuG8.jpg,8.497,9818,2019-02-15,2024-08-08,4,36,COMPLETE
Defending Jacob,38801,Drama|Thriller|Legal,A family's lives are irreparably disrupted when the 14-year-old son is accused of murdering a fellow classmate.,,51,43945,English,Ended,United States,7.8,,95,Scripted,Michelle Dockery|Chris Evans|Jaeden Martell|Pablo Schreiber|Betty Gabriel|Cherry Jones|Sakina Jaffrey,Laurie Barber|Andy Barber|Jacob Barber|Neal Loguidice|Pam Duffy|Joanna Klein|Lynn Canavan,Mark Bomback|Mark Bomback|Tanya M. Swerling|Chris Evans|Atli Örvarsson|Meredith Tucker|Rosalie Swedlin|Mandell Winter|Tom Trafalski|Patti Podesta|Steve Pederson|Johanna Argan|Ólafur Arnalds|Angela Peri|Morten Tyldum|Jen Malone|William Landay|William Landay|Amanda Barnett|Jonathan Freeman|Adam Shulman|Dan Leahy|John P. Fedynich|John P. Fedynich|Lisa C. Satriano|Dorothy Aufiero|Jack Curtis Dubowsky|Tom Wilson,8,3,1,2021,87784,A family's lives are irreparably disrupted when the 14-year-old son is accused of murdering a fellow classmate.,Family is unconditional.,https://image.tmdb.org/t/p/w500/JTmkzwSDRiS9nvSPwpDB9fmZj2.jpg,https://image.tmdb.org/t/p/w500/wGPbGjNmFhkT9uTWDX4b06FMd45.jpg,8.267,1515,2020-04-24,2020-05-29,1,8,COMPLETE
Fam,34596,Comedy|Family,"Fed up with her father, a woman moves in with her older half-sister, and her fiancé.",30,30,43475,English,Ended,United States,5.3,,49,Scripted,Odessa A'zion|Nina Dobrev|Tone Bell|Sheryl Lee Ralph|Brian Stokes Mitchell|Gary Cole,Shannon|Clem|Nick|Rose|Walt|Freddy,David S. Rosenthal|Aaron Kaplan|Corinne Kingsbury|Corinne Kingsbury|Wendi Trilling|Dana Honor,13,3,1,2021,83376,"Fed up with her father, a woman moves in with her older half-sister, and her fiancé.",,https://image.tmdb.org/t/p/w500/vYUCvlFMNmEHGcfOdqP6ikvwisl.jpg,https://image.tmdb.org/t/p/w500/4wj9XyahAHhoXaiwaD3ANRlU5o.jpg,6.5,58,2019-01-10,2019-04-11,1,13,COMPLETE
MacGyver,5511,Drama|Action|Adventure,"He's everyone's favorite action hero... but he's a hero with a difference. Angus MacGyver is a secret agent whose wits are his deadliest weapon. Armed with only a knapsack filled with everyday items he picks up along the way, he improvises his way out of every peril the bad guys throw at him.

Making a bomb out of chewing gum? Fixing a speeding car's breaks... while he's riding in it? Using soda pop to cook up tear gas? That's all in a day's adventures for MacGyver. He's part Boy Scout, part genius. And all hero.",60,60,42636,English,Ended,United States,6.2,,98,Scripted,Lucas Till|Justin Hires|Tristin Mays|Meredith Eaton|George Eads|Levy Tran|Henry Ian Cusick|Sandrine Holt|Isabel Lucas,"Angus ""Mac"" MacGyver|Wilt Bozer|Riley Davis|Matilda ""Matty"" Webber|Jack Dalton|Desiree ""Desi"" Nguyen|Russ Taylor|Patricia Thornton|Samantha Cage",David Slack|David Slack|Chris Risner|Chris Risner|Lindsey Allen|Lindsey Allen|Lindsey Allen|Ted Babcock|David Straiton|David Straiton|Peter M. Lenkov|Peter M. Lenkov|Jeffrey Downer|Jeffrey Downer|Peter M. Tassler|Peter M. Tassler|Monica Macer|Lee David Zlotoff|David Von Ancken|Jim Adler|Jim Adler|Darren Genet|Henry Winkler|Lucas Till|Marqui Jackson|Travis Fickett|Terry Matalas|Teresa Huang|Brett Mahoney|Stephen Herek|Rob Pearlstein|John Rogers|Craig O'Neill|Nancy Kiu|Nancy Kiu|Nancy Kiu|Cindy Appel|Tony Solomons|James Wan|Bret VandenBos|Brandon Willer|Joshua Brown|Alessia Costantini|Andrew Charlton|Keith Power|Keith Neely|Alfred Sole|John Keris|Richard Currie|Andrew Karlsruher|Andrew Karlsruher|Casey Brown|Frank Morrone|Arge O'Neal|Stephanie Hicks|Michael Clear|Mark Manos|Vaughan Edwards|Gabriel Beristain|P. Todd Coe|Paul Downs Colaizzo|Lindsay Jameyson|Jennifer Cooper|Kelly Cabral|Kurt Kassulke|Adam Sawelson|Mark Fincannon|Liza Richardson|James L. Carter|Lauren Schaffer|Gary Krause|Alexey Mohr|Jamie Santos|Michael Martinez|Peter Levy|Todd M. Amateau|Scott Lerner|Bill Eigenbrodt|Drew Nichols|Robert Carr|Evan J. Warner|Gregory Michael Barna|Andrew Klein|David Lebowitz|Tari Segal|Brian Durkin|Christopher Duddy|Doug Clark|David Cass Jr.|Wileen Dragovan|Roxanne Paul|Dan Olexiewicz|Drew Ponder|Sarah Downer|Mia Cascio|Meredith Petty Hughes|Daniel A. Davila|Greg Baldi|Ken Farrington,94,2.5,1,2021,2875,"He's everyone's favorite action hero... but he's a hero with a difference. Angus MacGyver is a secret agent whose wits are his deadliest weapon. Armed with only a knapsack filled with everyday items he picks up along the way, he improvises his way out of every peril the bad guys throw at him.

Making a bomb out of chewing gum? Fixing a speeding car's breaks... while he's riding in it? Using soda pop to cook up tear gas? That's all in a day's adventures for MacGyver. He's part Boy Scout, part genius. And all hero.",His mind is the ultimate weapon.,https://image.tmdb.org/t/p/w500/zhgJNHbFxGkqdsKdkZLBrDWagOv.jpg,https://image.tmdb.org/t/p/w500/etU3Zrl7FA20m4LvmkFvdZOUE8u.jpg,7.729,890,1985-09-29,1992-05-21,7,139,COMPLETE
Rick and Morty,216,Comedy|Adventure|Science-Fiction,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,30,30,41610,English,Running,United States,8.8,,100,Animation,Ian Cardoni|Justin Roiland|Justin Roiland|Harry Belden|Sarah Chalke|Spencer Grammer|Chris Parnell|Justin Roiland|Justin Roiland|Sarah Chalke|Harry Belden|Justin Roiland|Chris Parnell|Justin Roiland|Justin Roiland|Sarah Chalke|Spencer Grammer|Justin Roiland|Ian Cardoni|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Spencer Grammer|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Spencer Grammer|Justin Roiland|Sarah Chalke|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Chris Parnell|Justin Roiland|Justin Roiland|Spencer Grammer|Sarah Chalke|Justin Roiland|Justin Roiland|Justin Roiland|Sarah Chalke|Justin Roiland|Spencer Grammer|Justin Roiland,Rick Sanchez|Rick Sanchez|Morty Smith|Morty Smith|Beth Smith|Summer Smith|Jerry Smith|Additional Voices|Mr. Poopybutthole|Space Beth|Evil Morty|Evil Morty|Additional Voices|Mr. Meeseeks|Council of Ricks|Additional Voices|Additional Voices|Memory Rick|Memory Rick|Albert Einstein|Cromulons|Eyeholes Man|Real Fake Door Salesman|Tophat Jones|Ants in My Eyes Johnson|Baby Legs|Two Brother Movie Announcer|Glenn's Wife|Darth Poopybutthole|Goomby|Greebybobe|Green Alien|Blob Alien|Dream Aliens|Dream Summer|Lumberjack|Gazorpian|Glenn|Gazorpazorpfield|Evil Rick|Doofus Rick|Blips & Chitz Announcer|Agent|Noob Noob|PA System|Gear Person #1|Gear Person #2|Call Centre Alien #3|Rick K22|Morty K22|Young Beth|Morty Voiceoverian|Summer Voiceoverian|Harold,Kenny Micka|Jessica Gao|Rob Schrab|Justin Roiland|Justin Roiland|James A. Fino|Joe Russo II|Dan Harmon|Dan Harmon|Brandon Johnson|Rich Fulcher|Mehar Sethi|Alex Rubens|Alex Rubens|Dan Guterman|Dan Guterman|Matt Roller|Ryan Ridley|Ryan Ridley|Ryan Ridley|Scott Marder|Keith Crofford|Michael Lazzo|John Harris|Pete Michels|David Phillips|Abed Gheith|Wade Randolph|Eric Acosta|Heather Anne Campbell|Tom Kauffman|Tom Kauffman|Dave Horwitz|Mike McMahan|Mike McMahan|Mike McMahan|Richard Grieve|Lee Harting|Lee Harting|J. Michael Mendel|Wes Archer|James McDermott|Jane Becker|David Marshall|Barry Ward|Nicholas Rutherford|Nicholas Rutherford|Walter Newman|Ruth Lambert|Ryan Elder|Ryan Elder|Sarah Carbiener|Erica Rosbe|James Siciliano|James Siciliano|James Siciliano|Konrad Pinon|Hunter Curra|Brian Wysol|Ollie Green|Ollie Green|Siobhan Thompson|Jeff Loveness|Jeff Loveness|Michael Waldron|Sydney Ryan|Robert McGee|Steve Levy|Steve Levy|Steve Levy|Dave Otterby|Dave Otterby|Anne Lane|Anne Lane|Anne Lane|Caitie Delaney|Rick Mischel|Monica Mitchell|Robbie Erwin|Albro Lundy|Albro Lundy|Albro Lundy|Nathan Litz|Delna Bhesania|Florian Wagner|Johnny Tesoro|Jeffrey M Thompson|Tina Chow|Tanner Tananbaum|Jonathan Roig|Shawn Kenji Pearlman|Rashad Gheith|Brian Wysolmierski|Nadine Wagner-Westerbarkey|Ed Voccola|Mark Van Ee|Suzanne St. Clair|Suzanne St. Clair|Emily Deere|Anthony Alfonso|Deirdre Brenner,81,4.5,3,2021,60625,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,"Science makes sense, family doesn't.",https://image.tmdb.org/t/p/w500/WGRQ8FpjkDTzivQJ43t94bOuY0.jpg,https://image.tmdb.org/t/p/w500/9In9QgVJx7PlFOAgVHCKKSbo605.jpg,8.683,10563,2013-12-02,2025-07-27,8,81,COMPLETE
Dark,17861,Drama|Science-Fiction|Supernatural,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,,56,43070,German,Ended,Germany,8.2,,99,Scripted,Louis Hofmann|Karoline Eichhorn|Stephan Kampwirth|Maja Schöne|Lisa Vicari|Jördis Triebel|Andreas Pietschmann|Paul Lux|Oliver Masucci|Moritz Jahn|Peter Benedict|Deborah Kaufmann|Gina Alice Stiebitz|Daan Lennard Liebrenz|Julika Jenkins|Carlotta von Falkenhayn|Leopold Hornung|Mark Waschke|Christian Pätzold|Dietrich Hollinderbäumer|Hermann Beyer|Christian Steyer|Anne Ratte-Polle|Lisa Kreuzer|Tatja Seibt|Walter Kreye|Nele Trebs|Lydia Maria Makrides|Tom Philipp|Ella Lee|Peter Schneider|Anton Rubtsov|Sebastian Hülk|Antje Traue|Lea Van Acken|Max Schimmelpfennig|Sandra Borgmann|Carina N. Wiese|Barbara Nüsse|Sebastian Rudolph|Ludger Bökelmann|Cordelia Wege|Arnd Klawitter|Sylvester Groth|Hans Diehl|Claude Heinrich|Angela Winkler|Luise Heyer|Winfried Glatzeder|Wolfram Koch|Jakob Diehl|Anne Lebinsky|Stephanie Amarell|Felix Kramer|Michael Mendl|Anatole Taubman|Joshio Marlon|Gwendolyn Göbel|Nina Kronjäger|Rike Sindler|Lena Urzendowsky|Béla Gábor Lenz|Roman Knižka|Florian Panzner|Katharina Spiering|Thomas Arnold|Sammy Scheuritzel|Valentin Opperman|Helena Pieske|Axel Werner|Franz Hartwig|Pablo Striebeck,Jonas Kahnwald|Charlotte Doppler|Peter Doppler|Hannah Kahnwald|Martha Nielsen|Katharina Nielsen|The Stranger|Bartosz Tiedemann|Ulrich Nielsen|Magnus Nielsen|Aleksander Tiedemann|Regina Tiedemann|Franziska Doppler|Mikkel Nielsen|Claudia Tiedemann 1986|Elisabeth Doppler|Torben Wöller|Noah|Egon Tiedemann 1986|Adam|Helge Doppler|H.G. Tannhaus 1986|Ines Kahnwald 1986|Claudia Tiedemann|Jana Nielsen|Tronte Nielsen|Katharina Nielsen 1986|Regina Tiedemann 1986|Helge Doppler 1953|Hannah Kahnwald 1986|Helge Doppler 1986|Transvestite Benni|Egon Tiedemann 1953|Agnes Nielsen|Silja Tiedemann|Noah 1921|Elisabeth Doppler 2053|Franziska Doppler 1921|Eva|Michael Kahnwald|Ulrich Nielsen 1986|Greta Doppler 1953|H.G. Tannhaus 1953|Investigator Clausen|Old Unknown|Young Unknown|Ines Kahnwald|Doris Tiedemann|Old Ulrich Nielsen 1987|Adult Magnus Nielsen|Adult Unknown|Jana Nielsen 1986|Charlotte Doppler 1986|Tronte Nielsen 1986|Bernd Doppler 1986|Bernd Doppler 1953|Tronte Nielsen 1953|Claudia Tiedemann 1953|Female Stranger|Jana Nielsen 1953|Ines Kahnwald 1953|Aleksander Tiedemann 1986|Adult Bartosz Tiedemann|Daniel Kahnwald 1954|Helene Albers|Farmer Hermann Albers|Kilian Obendorf|Mads Nielsen|Agnes Nielsen 1921|Gustav Tannhaus|Police Chief Martin Döhring|Young Peter Doppler,Philipp Klausing|Denis Bachter|Nikolaus Summerer|Udo Kramer|Anette Guther|Monika Münnich|Simone Bär|Robert Rzesacz|Ben Frost|Arno Neubauer|Jantje Friese|Jantje Friese|Baran bo Odar|Baran bo Odar|Quirin Berg|Max Wiedemann|Justyna Muesch|Kelly Luegenbiehl|Amanda Krentzman|Erik Barmack|Anja Siemens|Sven Budelmann|Lewis Morison|Lynn Fainchtein|Ansgar Frerich|Christian Bischoff|Matthias Maydl|Benjamin A. Rosenkind|Alexander Wurtz|Achim Hofmann|Alexandra Montag|Lars Gmehling|Christina Wagner|Simon Gstöttmayr|Carolin Biesenbach|Boris Gromatzki|Moritz Heinlin|Roan Densimbor,26,4.5,1,2021,70523,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,Everything is connected.,https://image.tmdb.org/t/p/w500/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg,https://image.tmdb.org/t/p/w500/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,8.423,7274,2017-12-01,2020-06-27,3,26,COMPLETE
Lucifer,1859,Drama|Crime|Supernatural,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,58,42394,English,Ended,United States,8.3,,99,Scripted,Tom Ellis|Lauren German|Kevin Alejandro|Lesley-Ann Brandt|Rachael Harris|D.B. Woodside|Aimee Garcia|Scarlett Estevez|Tricia Helfer|Tom Welling|Inbar Lavi|Tom Ellis|Brianna Hildebrand|Kevin Rankin|Lauren German|Aimee Garcia|Kevin Alejandro|Rachael Harris|D.B. Woodside,Lucifer Morningstar|Chloe Decker|Dan Espinoza|Mazikeen|Linda Martin|Amenadiel|Ella Lopez|Trixie Decker|Charlotte Richards|Marcus Pierce|Eve|Michael|Rory|Malcolm Graham|Jack Monroe|Tony Stompanato|William Kincannon|Gertie|Melvin the Magnificent,Karen Gaviola|Chris August|Jonathan Littman|Jerry Bruckheimer|Tom Ellis|Len Wiseman|Tom Kapinos|Tom Kapinos|Tom Kapinos|Tom Kapinos|Nathan Hope|Ildy Modrovich|Jonathan C. Brody|Trey Coscia|Trey Coscia|Alex Katsnelson|Alex Katsnelson|Alex Katsnelson|Kyle Christensen|Joe Henderson|KristieAnne Reed|KristieAnne Reed|Hilton Smith|Jason Ning|Jason Ning|Jason Ning|Preston Fischer|Chris Rafferty|Chris Rafferty|Chris Rafferty|Chris Rafferty|Chris Rafferty|Sheri Elwood|Sheri Elwood|Corbin Bronson|Aiyana White|Aiyana White|Aiyana White|Aron Michael Manderosian|Robert J. Manderosian|Jenn Kao|Jenn Kao|Jenn Kao|Jeff Russo|Ben Decter|Michael Azzolino|Agata Maszkiewicz|Troy Hardy|Joan Cunningham|Joan Cunningham|Joan Cunningham|Rebecca Mangieri|Wendy Weidman|Erik Holmberg|Scott Chambliss|Glen Keenan|Marc Pattavina|Stephen Geaghan|Ryan McMaster|Fred Peterson|Mike Costa|Mike Costa|Mike Costa|Mike Costa|Mike Costa|Tico Poulakakis|Jeff Lieber|Yuri Reese|William Smith|Alexandra Patsavas|Michael Crotty|Brad Katz|Stefan von Bjorn|Mark Rabinowitz|Hector Carrillo|Matthew Coleshill|Julia Fontana|Julia Fontana|Julia Fontana|Barry Donlevy|Jon Ailetcher|Tom Camarda|Lisa Demaine|Elizabeth Barnes|Neil L. Felder|Jill D'Agnenica|John Reyes-Nguyen|Bonnie R. Benwick|Christian Sebaldt|Franklyn M. Gottbetter|Alex Hajdu|Dan Menchaca|Jeffrey Schwartz|Jen Graham Imada|Jen Graham Imada|Jen Graham Imada|Lloyd Gilyard Jr.|Paul Theriault|Eileen Horta|Samantha Rood|Justin Kamps|Tristan Beltrami|Sean Madsen|Bryan Bowen|Ray Daniels|Carly Woodworth|Laura Sylvester,93,3,1,2021,63174,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",It's good to be bad.,https://image.tmdb.org/t/p/w500/ekZobS8isE6mA53RAiGDG93hBxL.jpg,https://image.tmdb.org/t/p/w500/ncftkNAjIz2PBbUMY7T0CHVJP8d.jpg,8.4,15226,2016-01-25,2021-09-10,6,93,COMPLETE
Mirzapur,39868,Drama|Action|Crime,"The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city.",,55,43420,Hindi,To Be Determined,India,7.5,,79,Scripted,Pankaj Tripathi|Ali Fazal|Divyendu Sharma|Vikrant Massey|Shweta Tripathi|Shriya Pilgaonkar|Rasika Dugal|Harshita Gaur|Kulbhushan Kharbanda.,,Karan Anshuman|Puneet Krishna,29,3,1,2021,84105,"The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city.",,https://image.tmdb.org/t/p/w500/p0qM8hhlMF5DuxHBzl2EZR6TehX.jpg,https://image.tmdb.org/t/p/w500/3dV7pWAdwIPKR2lMIACMfObXdgK.jpg,8.009,169,2018-11-15,2024-07-05,3,29,COMPLETE
