Album Name,Artist(s),Release Date,Total Tracks,Popularity,Genre(s),Album URL,my_rating
Madvillainy,"Madvillain, Madlib, MF DOOM",24-03-2004,22,71,rap,https://open.spotify.com/album/19bQiwEKhXUBJWY6oV3KZk,4
Graduation,Kanye West,11-09-2007,14,88,rap,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3,5
It's Almost Dry,Pusha T,22-04-2022,12,62,rap,https://open.spotify.com/album/6o38CdD7CUlZDCFhjZYLDH,4
KIDS SEE GHOSTS,"KIDS SEE GHOSTS, Kanye West, Kid Cudi",08-06-2018,7,66,rap,https://open.spotify.com/album/6pwuKxMUkNg673KETsXPUV,4
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,29-01-2006,13,77,indie,https://open.spotify.com/album/50Zz8CkIhATKUlQMbHO3k1,3
Sacred Hearts Club,Foster The People,21-07-2017,12,67,indie,https://open.spotify.com/album/5lFvZh6pCTJzr9UStebyCF,3
The Water's Fine!,Liana Flores,01-06-2018,6,47,indie,https://open.spotify.com/album/1OtR5oiX3TV1UFlVuUIovG,3
recently,Liana Flores,10-04-2019,5,74,indie,https://open.spotify.com/album/295qW3R6DSM1WfePwUpgux,3
Is This It,The Strokes,30-07-2001,11,72,rock,https://open.spotify.com/album/2yNaksHgeMQM9Quse463b5,4
Tomorrow Is Nearly Yesterday and Everyday Is Stupid,Crywank,25-09-2015,18,50,indie,https://open.spotify.com/album/6pOwAexagsTxRqolCPy7Vd,2
The Never Story,JID,10-03-2017,12,60,rap,https://open.spotify.com/album/1gPqbxhs90kppgOVxGOPzd,2
Illmatic,Nas,19-04-1994,10,72,rap,https://open.spotify.com/album/3kEtdS2pH6hKcMU9Wioob1,4
Swimming,Mac Miller,03-08-2018,13,80,rap,https://open.spotify.com/album/5wtE5aLX5r7jOosmPhJhhk,3
Conditions Of A Punk,half alive,02-12-2022,18,49,pop,https://open.spotify.com/album/4mdZ4AxMYHZk3qE5jBmlzM,3
I Didn't Mean To Haunt You,Quadeca,10-11-2022,11,49,indie,https://open.spotify.com/album/3c0NHNo2Gn0X7uARad3hGv,4
